Name,Age,#days,Lev,Date,Tm, ,Opp,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Luis Garcia,25,0,Maj-AL,"Jun 22, 2022",Houston,,New York,1,1,1.0,,,5.0,6,3,3,1,5,0,0,5.4,47,19,2,0,0,1,1,0,0,0,21,83,0.67,0.13,0.22,0.4,0.4,0.0,1.4,0.4,9.0,5.0,677651
Amir Garrett,30,0,Maj-AL,"Jun 22, 2022",Kansas City,@,Los Angeles,1,0,,,,0.2,2,2,2,1,2,0,0,27.0,,4,1,0,0,0,0,0,0,0,5,23,0.48,0.26,0.04,0.5,0.5,0.0,4.5,1.0,27.0,2.0,607237
Ralph Garza,28,0,Maj-AL,"Jun 22, 2022",Tampa Bay,,New York,1,0,,1.0,,2.0,1,2,2,3,1,1,1,9.0,,7,0,0,0,0,0,0,0,0,11,49,0.51,0.18,0.08,0.33,0.5,0.0,2.0,0.0,4.5,0.33,621248
Lucas Gilbreath,26,0,Maj-NL,"Jun 22, 2022",Colorado,@,Miami,1,0,,,,1.0,2,0,0,0,1,0,0,0.0,,4,0,0,0,0,0,0,0,0,4,11,0.82,0.27,0.27,0.33,0.33,0.33,2.0,0.667,9.0,,656458
Lucas Giolito,27,0,Maj-AL,"Jun 22, 2022",Chicago,,Toronto,1,1,,1.0,,5.0,11,7,7,1,3,2,0,12.6,19,25,3,0,0,1,0,0,0,0,26,95,0.64,0.15,0.08,0.32,0.27,0.0,2.4,0.45,5.4,3.0,608337
Mychal Givens,32,0,Maj-NL,"Jun 22, 2022",Chicago,@,Pittsburgh,1,0,,,,1.0,0,0,0,1,1,0,1,0.0,,3,0,0,0,0,0,0,0,0,5,19,0.47,0.26,0.05,0.5,0.0,0.0,1.0,0.0,9.0,1.0,571710
Austin Gomber,28,0,Maj-NL,"Jun 22, 2022",Colorado,@,Miami,1,0,,,,1.2,3,3,3,1,2,2,0,16.2,,8,0,0,0,0,0,0,0,0,9,45,0.6,0.13,0.13,0.67,0.0,0.0,2.4,0.25,10.8,2.0,596295
Anthony Gose,31,0,Maj-AL,"Jun 22, 2022",Cleveland,@,Minnesota,1,0,,,,2.0,0,0,0,0,1,0,0,0.0,,6,0,0,0,0,0,0,0,0,6,24,0.67,0.13,0.21,0.2,0.2,0.2,0.0,0.0,4.5,,543238
Jon Gray,30,0,Maj-AL,"Jun 22, 2022",Texas,,Philadelphia,1,1,1.0,,,5.2,4,2,2,1,5,1,0,3.18,57,22,0,0,0,0,0,1,0,0,23,102,0.72,0.18,0.15,0.24,0.47,0.06,0.882,0.188,7.9,5.0,592351
Sonny Gray,32,0,Maj-AL,"Jun 22, 2022",Minnesota,,Cleveland,1,1,,,,4.0,8,4,3,0,4,1,0,6.75,36,20,1,1,0,0,0,0,0,0,20,85,0.69,0.2,0.12,0.31,0.38,0.0,2.0,0.467,9.0,,543243
Foster Griffin,26,0,Maj-AL,"Jun 22, 2022",Kansas City,@,Los Angeles,1,0,,,,1.0,3,2,2,0,1,0,0,18.0,,5,2,0,0,0,0,0,0,0,6,28,0.68,0.14,0.18,0.6,0.4,0.0,3.0,0.75,9.0,,656492
Louis Head,32,0,Maj-NL,"Jun 22, 2022",Miami,,Colorado,1,0,,,,1.0,1,3,3,1,1,1,1,27.0,,4,0,0,0,0,0,0,0,0,6,23,0.39,0.13,0.04,0.0,0.0,0.33,2.0,0.0,9.0,1.0,545343
Sam Hentges,25,0,Maj-AL,"Jun 22, 2022",Cleveland,@,Minnesota,1,0,1.0,,,1.0,0,0,0,1,0,0,0,0.0,,2,0,0,0,0,0,0,0,0,3,12,0.5,0.25,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,656529
Clay Holmes,29,0,Maj-AL,"Jun 22, 2022",New York,@,Tampa Bay,1,0,,,1.0,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,16,0.75,0.13,0.19,1.0,0.0,0.0,0.0,0.0,9.0,,605280
Daniel Hudson,35,0,Maj-NL,"Jun 22, 2022",Los Angeles,@,Cincinnati,1,0,,,,1.0,0,0,0,0,1,0,0,0.0,,3,0,0,0,0,0,0,0,0,3,14,0.64,0.07,0.07,0.5,0.5,0.0,0.0,0.0,9.0,,543339
